iter	RMSE
0	0.1823768707
1	0.1775393363
2	0.1719245008
3	0.1670636368
4	0.1626793325
5	0.1582106651
6	0.1537406606
7	0.1490973566
8	0.1448129559
9	0.140866009
10	0.1373746727
11	0.134231044
12	0.1308598177
13	0.1276654721
14	0.1247688012
15	0.1215019233
16	0.1186381296
17	0.1159758524
18	0.1133350884
19	0.1107969503
20	0.1082843589
21	0.1058647264
22	0.1036965256
23	0.1015541444
24	0.09926145562
25	0.09730511505
26	0.09571322789
27	0.09394379726
28	0.09205275165
29	0.09009421711
30	0.08843374213
31	0.08700900535
32	0.0855307575
33	0.08403324059
34	0.08281318873
35	0.08152266433
36	0.08017071576
37	0.07903080948
38	0.07806014675
39	0.07689645686
40	0.07595350158
41	0.07484755581
42	0.07394188723
43	0.07296990332
44	0.07211082634
45	0.07136018026
46	0.07067583595
47	0.0700846912
48	0.06918944012
49	0.06844231127
50	0.06781913452
51	0.06713783159
52	0.06651083847
53	0.06586279965
54	0.06529162301
55	0.06466316251
56	0.06407476109
57	0.06355412768
58	0.06309760166
59	0.06270189343
60	0.06227913538
61	0.06203344951
62	0.06148012653
63	0.06096912359
64	0.06051296125
65	0.05996830117
66	0.05954278209
67	0.05905224548
68	0.05869062779
69	0.05832902699
70	0.05797718833
71	0.0575322101
72	0.05714234829
73	0.0568613884
74	0.05647676421
75	0.05600047706
76	0.05584069601
77	0.05552289872
78	0.05528790755
79	0.05486841025
80	0.05456178134
81	0.05421807688
82	0.05402088578
83	0.0535904035
84	0.05340194317
85	0.05307391913
86	0.05277781072
87	0.05251569408
88	0.05223018963
89	0.05197435615
90	0.05172682666
91	0.05153491643
92	0.05129550785
93	0.05103424939
94	0.05062188598
95	0.05040513792
96	0.050150905
97	0.049944583
98	0.04972011303
99	0.04954607075
100	0.04927071449
101	0.04905698528
102	0.04885566597
103	0.04857949058
104	0.04839229077
105	0.04819754347
106	0.04801375267
107	0.04775018055
108	0.04753902841
109	0.04732315304
110	0.04711194052
111	0.04690000636
112	0.04662208051
113	0.04633952738
114	0.04614680627
115	0.04592468054
116	0.04580377609
117	0.04564872439
118	0.04551582026
119	0.04533451662
120	0.04520601144
121	0.04493597987
122	0.04475485922
123	0.04463373162
124	0.04446601151
125	0.04434484426
126	0.04405597524
127	0.04395532751
128	0.04362023922
129	0.04338316258
130	0.04330987371
131	0.04321298438
132	0.04310803513
133	0.0428793495
134	0.04274621139
135	0.0425620302
136	0.04243522493
137	0.04226310444
138	0.04202651403
139	0.04194737982
140	0.04169533004
141	0.04161414038
142	0.04140565002
143	0.04132586459
144	0.04124616113
145	0.04102870897
146	0.04075360192
147	0.04061941445
148	0.04040332559
149	0.04029068139
150	0.04018747964
151	0.03999912246
152	0.03987319798
153	0.03977130245
154	0.03961145666
155	0.0394144504
156	0.03917161852
157	0.03900358487
158	0.03894119781
159	0.03873843817
160	0.03863506743
161	0.03854919461
162	0.03847546775
163	0.03832792152
164	0.03812698257
165	0.03806346108
166	0.03797507907
167	0.03787328184
168	0.03782286789
169	0.03778344919
170	0.03762958554
171	0.03749587975
172	0.03741625849
173	0.03733187587
174	0.03719299192
175	0.0371248125
176	0.03694423997
177	0.03687640158
178	0.03682355381
179	0.03676633083
180	0.03655552423
181	0.03650176594
182	0.03645231027
183	0.03638266579
184	0.03614637188
185	0.03609498906
186	0.03600018917
